Year,VenueID,ROA,treat_year,Type,Size,,years_incorporation
2018,1,-14.9,2019,Restaurant,Medium,,4
2019,1,-3.98,2019,Restaurant,Medium,,5
2020,1,-0.07,2019,Restaurant,Medium,,6
2021,1,-16.11,2019,Restaurant,Medium,,7
2022,1,-5.6,2019,Restaurant,Medium,,8
2018,2,6.33,2022,Restaurant ; Bar / Pub,Large,,7
2019,2,1.5,2022,Restaurant ; Bar / Pub,Large,,8
2020,2,6.96,2022,Restaurant ; Bar / Pub,Large,,9
2021,2,-19.78,2022,Restaurant ; Bar / Pub,Large,,10
2022,2,21.18,2022,Restaurant ; Bar / Pub,Large,,11
2018,3,28.4,2022,Entertainment Venue,Small,,3
2019,3,23.96,2022,Entertainment Venue,Small,,4
2020,3,15.78,2022,Entertainment Venue,Small,,5
2021,3,2.24,2022,Entertainment Venue,Small,,6
2022,3,14.51,2022,Entertainment Venue,Small,,7
2018,4,16.07,2019,Entertainment Venue,Medium,,7
2019,4,11.08,2019,Entertainment Venue,Medium,,8
2020,4,8.72,2019,Entertainment Venue,Medium,,9
2021,4,-1.26,2019,Entertainment Venue,Medium,,10
2022,4,5.28,2019,Entertainment Venue,Medium,,11
2018,5,7.48,2021,Bar / Pub,Large,,11
2019,5,-18.48,2021,Bar / Pub,Large,,12
2020,5,-28.9,2021,Bar / Pub,Large,,13
2021,5,3.13,2021,Bar / Pub,Large,,14
2022,5,13.1,2021,Bar / Pub,Large,,15
2018,6,5.05,2019,Bar / Pub,Large,,13
2019,6,8.15,2019,Bar / Pub,Large,,14
2020,6,8.01,2019,Bar / Pub,Large,,15
2021,6,-4.95,2019,Bar / Pub,Large,,16
2022,6,3.56,2019,Bar / Pub,Large,,17
2018,7,2.8,2021,Bar / Pub,Large,,7
2019,7,2.06,2021,Bar / Pub,Large,,8
2020,7,-4.35,2021,Bar / Pub,Large,,9
2021,7,-1.97,2021,Bar / Pub,Large,,10
2022,7,1.05,2021,Bar / Pub,Large,,11
2018,8,-44.14,2019,Bar / Pub,Small,,3
2019,8,-23.69,2019,Bar / Pub,Small,,4
2020,8,-12.47,2019,Bar / Pub,Small,,5
2021,8,22.57,2019,Bar / Pub,Small,,6
2022,8,-1.23,2019,Bar / Pub,Small,,7
2018,9,-18.96,2019,Entertainment Venue,Small,,8
2019,9,29.87,2019,Entertainment Venue,Small,,9
2020,9,15.39,2019,Entertainment Venue,Small,,10
2021,9,13,2019,Entertainment Venue,Small,,11
2022,9,32.14,2019,Entertainment Venue,Small,,12
2018,10,-12.04,2022,Bar / Pub,Medium,,8
2019,10,9.32,2022,Bar / Pub,Medium,,9
2020,10,17.41,2022,Bar / Pub,Medium,,10
2021,10,-42.46,2022,Bar / Pub,Medium,,11
2022,10,25.76,2022,Bar / Pub,Medium,,12
2018,11,-78.29,2022,Entertainment Venue ; Bar / Pub,Large,,2
2019,11,-46.85,2022,Entertainment Venue ; Bar / Pub,Large,,3
2020,11,-55.96,2022,Entertainment Venue ; Bar / Pub,Large,,4
2021,11,-1.06,2022,Entertainment Venue ; Bar / Pub,Large,,5
2022,11,2.05,2022,Entertainment Venue ; Bar / Pub,Large,,6
2018,12,8.49,2022,Bar / Pub,Small,,15
2019,12,7.8,2022,Bar / Pub,Small,,16
2020,12,1.99,2022,Bar / Pub,Small,,17
2021,12,-5.27,2022,Bar / Pub,Small,,18
2022,12,-6.92,2022,Bar / Pub,Small,,19
2018,13,21.83,2019,Bar / Pub,Large,,4
2019,13,19.15,2019,Bar / Pub,Large,,5
2020,13,10.37,2019,Bar / Pub,Large,,6
2021,13,2.14,2019,Bar / Pub,Large,,7
2022,13,18.36,2019,Bar / Pub,Large,,8
2018,14,12.26,2019,Bar / Pub,Medium,,14
2019,14,7.23,2019,Bar / Pub,Medium,,15
2020,14,3.58,2019,Bar / Pub,Medium,,16
2021,14,9.14,2019,Bar / Pub,Medium,,17
2022,14,7.14,2019,Bar / Pub,Medium,,18
2018,15,4.83,2022,Bar / Pub,Large,,3
2019,15,1.32,2022,Bar / Pub,Large,,4
2020,15,-15.04,2022,Bar / Pub,Large,,5
2021,15,11.1,2022,Bar / Pub,Large,,6
2022,15,15.29,2022,Bar / Pub,Large,,7
2018,16,-24.17,2021,Entertainment Venue,Small,,5
2019,16,20.71,2021,Entertainment Venue,Small,,6
2020,16,23.66,2021,Entertainment Venue,Small,,7
2021,16,19.17,2021,Entertainment Venue,Small,,8
2022,16,25.12,2021,Entertainment Venue,Small,,9
2018,17,13.78,2020,Restaurant,Small,,23
2019,17,-10.67,2020,Restaurant,Small,,24
2020,17,24.67,2020,Restaurant,Small,,25
2021,17,15.34,2020,Restaurant,Small,,26
2022,17,38.93,2020,Restaurant,Small,,27
2018,18,-12.86,2020,Bar / Pub,Small,,11
2019,18,21.07,2020,Bar / Pub,Small,,12
2020,18,5.34,2020,Bar / Pub,Small,,13
2021,18,17.13,2020,Bar / Pub,Small,,14
2022,18,25.75,2020,Bar / Pub,Small,,15
2018,19,4.68,2019,Entertainment Venue,Mirco,,15
2019,19,11.07,2019,Entertainment Venue,Mirco,,16
2020,19,18.9,2019,Entertainment Venue,Mirco,,17
2021,19,12.54,2019,Entertainment Venue,Mirco,,18
2022,19,21.69,2019,Entertainment Venue,Mirco,,19
2018,20,-7.3,0,Restaurant,Medium,,4
2019,20,-8.68,0,Restaurant,Medium,,5
2020,20,-26.09,0,Restaurant,Medium,,6
2021,20,-32.17,0,Restaurant,Medium,,7
2022,20,-9.65,0,Restaurant,Medium,,8
2018,21,6.91,0,Entertainment Venue,Large,,5
2019,21,10.64,0,Entertainment Venue,Large,,6
2020,21,4.59,0,Entertainment Venue,Large,,7
2021,21,12.06,0,Entertainment Venue,Large,,8
2022,21,13.8,0,Entertainment Venue,Large,,9
2018,22,-60.18,0,Entertainment Venue,Medium,,9
2019,22,-10.73,0,Entertainment Venue,Medium,,10
2020,22,-16.2,0,Entertainment Venue,Medium,,11
2021,22,-39.53,0,Entertainment Venue,Medium,,12
2022,22,6.32,0,Entertainment Venue,Medium,,13
